"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"3843","100611 (3843)","1845","910670 (1845)","1/1/2017 - 3/31/2017, Every day, Daily Average",2379,1891,2992
"3843","100611 (3843)","1963","809980 (1963)","1/1/2017 - 3/31/2017, Every day, Daily Average",2624,2371,2902
"3843","100611 (3843)","1975","80997A (1975)","1/1/2017 - 3/31/2017, Every day, Daily Average",2710,2288,3209
"3843","100611 (3843)","1977","810014 (1977)","1/1/2017 - 3/31/2017, Every day, Daily Average",2675,2118,3376
"3843","100611 (3843)","1994","910502 (1994)","1/1/2017 - 3/31/2017, Every day, Daily Average",2400,2059,2796
"3843","100611 (3843)","2041","910490 (2041)","1/1/2017 - 3/31/2017, Every day, Daily Average",2226,1539,3218
"3843","100611 (3843)","2089","910513 (2089)","1/1/2017 - 3/31/2017, Every day, Daily Average",2200,1004,4818
"3843","100611 (3843)","2113","910512 (2113)","1/1/2017 - 3/31/2017, Every day, Daily Average",2180,1858,2557
"3843","100611 (3843)","2129","910552 (2129)","1/1/2017 - 3/31/2017, Every day, Daily Average",2164,1888,2479
"3843","100611 (3843)","2156","910551 (2156)","1/1/2017 - 3/31/2017, Every day, Daily Average",2077,1704,2530
"3843","100611 (3843)","2163","910571 (2163)","1/1/2017 - 3/31/2017, Every day, Daily Average",2051,1761,2387
"3843","100611 (3843)","2169","910592 (2169)","1/1/2017 - 3/31/2017, Every day, Daily Average",2068,1728,2474
"3843","100611 (3843)","2176","910594 (2176)","1/1/2017 - 3/31/2017, Every day, Daily Average",2065,1760,2421
"3843","100611 (3843)","2178","910582 (2178)","1/1/2017 - 3/31/2017, Every day, Daily Average",2003,1706,2351
"3843","100611 (3843)","2214","910581 (2214)","1/1/2017 - 3/31/2017, Every day, Daily Average",1972,1647,2360
"3843","100611 (3843)","2249","910617 (2249)","1/1/2017 - 3/31/2017, Every day, Daily Average",1902,1613,2242
"3843","100611 (3843)","2266","910615 (2266)","1/1/2017 - 3/31/2017, Every day, Daily Average",1886,1598,2225
"3843","100611 (3843)","2273","910601 (2273)","1/1/2017 - 3/31/2017, Every day, Daily Average",1884,1560,2274
"3843","100611 (3843)","2318","910641 (2318)","1/1/2017 - 3/31/2017, Every day, Daily Average",1851,1496,2289
"3843","100611 (3843)","2319","910613 (2319)","1/1/2017 - 3/31/2017, Every day, Daily Average",1806,1508,2162
"3843","100611 (3843)","2336","910623 (2336)","1/1/2017 - 3/31/2017, Every day, Daily Average",1750,1470,2083
"3843","100611 (3843)","2355","507862 (2355)","1/1/2017 - 3/31/2017, Every day, Daily Average",1874,1533,2290
