"Date","Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Daily Mean Travel Time (Seconds)","Daily Range - Lower Bound Travel Time (Seconds)","Daily Range - Upper Bound Travel Time (Seconds)","AM Mean Travel Time (Seconds)","AM Range - Lower Bound Travel Time (Seconds)","AM Range - Upper Bound Travel Time (Seconds)","PM Mean Travel Time (Seconds)","PM Range - Lower Bound Travel Time (Seconds)","PM Range - Upper Bound Travel Time (Seconds)","Midday Mean Travel Time (Seconds)","Midday Range - Lower Bound Travel Time (Seconds)","Midday Range - Upper Bound Travel Time (Seconds)","Evening Mean Travel Time (Seconds)","Evening Range - Lower Bound Travel Time (Seconds)","Evening Range - Upper Bound Travel Time (Seconds)","Early Morning Mean Travel Time (Seconds)","Early Morning Range - Lower Bound Travel Time (Seconds)","Early Morning Range - Upper Bound Travel Time (Seconds)"
"03/16/2016","3843","100611 (3843)","3582","100101 (3582)",1155,758,1762,1252,803,1950,,,,,,,1012,739,1384,,,
"03/17/2016","3843","100611 (3843)","3582","100101 (3582)",1500,706,3183,2078,975,4432,,,,1295,707,2373,903,634,1285,,,
"03/18/2016","3843","100611 (3843)","3582","100101 (3582)",1041,750,1445,,,,,,,1289,864,1922,989,715,1369,540,384,758
"03/19/2016","3843","100611 (3843)","3582","100101 (3582)",871,683,1111,811,538,1221,,,,833,764,909,819,653,1026,702,489,1008
"03/20/2016","3843","100611 (3843)","3582","100101 (3582)",585,392,873,404,298,548,,,,,,,,,,672,453,994
"03/21/2016","3843","100611 (3843)","3582","100101 (3582)",702,517,953,891,679,1169,,,,876,675,1137,624,469,830,,,
"03/22/2016","3843","100611 (3843)","3582","100101 (3582)",744,515,1075,,,,,,,,,,926,625,1373,551,426,714
"03/23/2016","3843","100611 (3843)","3582","100101 (3582)",972,678,1392,1145,905,1450,,,,1030,833,1273,804,576,1122,,,
"03/24/2016","3843","100611 (3843)","3582","100101 (3582)",1014,770,1336,1048,777,1413,,,,1010,809,1261,1586,1001,2512,830,730,943
"03/25/2016","3843","100611 (3843)","3582","100101 (3582)",906,588,1395,872,630,1207,,,,1119,954,1313,781,533,1142,791,444,1407
"03/26/2016","3843","100611 (3843)","3582","100101 (3582)",1031,726,1464,720,429,1209,,,,,,,968,714,1310,506,360,711
"03/27/2016","3843","100611 (3843)","3582","100101 (3582)",682,496,938,,,,,,,723,574,910,682,496,938,890,436,1816
"03/28/2016","3843","100611 (3843)","3582","100101 (3582)",569,393,826,,,,,,,1426,762,2670,569,393,826,596,446,797
"03/29/2016","3843","100611 (3843)","3582","100101 (3582)",981,689,1397,1086,731,1613,,,,897,680,1181,1008,707,1438,597,423,842
"03/30/2016","3843","100611 (3843)","3582","100101 (3582)",973,608,1557,1189,833,1695,,,,1382,877,2179,801,531,1208,881,796,975
"03/31/2016","3843","100611 (3843)","3582","100101 (3582)",803,634,1017,1043,902,1206,,,,1350,811,2246,778,619,978,,,
"01/01/2016","3843","100611 (3843)","3582","100101 (3582)",1181,621,2243,,,,,,,633,422,948,,,,854,515,1418
"01/02/2016","3843","100611 (3843)","3582","100101 (3582)",866,559,1342,,,,829,574,1198,788,563,1101,918,545,1547,,,
"01/03/2016","3843","100611 (3843)","3582","100101 (3582)",702,462,1067,,,,,,,,,,,,,630,422,939
"01/04/2016","3843","100611 (3843)","3582","100101 (3582)",855,570,1283,1304,749,2270,,,,,,,717,516,997,,,
"01/05/2016","3843","100611 (3843)","3582","100101 (3582)",787,577,1074,,,,,,,695,512,944,,,,,,
"01/06/2016","3843","100611 (3843)","3582","100101 (3582)",1091,679,1752,1044,785,1390,,,,,,,887,587,1339,,,
"01/07/2016","3843","100611 (3843)","3582","100101 (3582)",914,586,1427,951,577,1567,,,,937,704,1247,870,666,1137,,,
"01/08/2016","3843","100611 (3843)","3582","100101 (3582)",857,568,1293,1134,782,1645,,,,918,772,1092,828,598,1145,495,406,602
"01/09/2016","3843","100611 (3843)","3582","100101 (3582)",657,445,972,,,,1193,752,1894,,,,981,539,1786,551,412,737
"01/10/2016","3843","100611 (3843)","3582","100101 (3582)",660,399,1092,,,,1069,708,1614,785,527,1170,789,570,1091,637,379,1070
"01/11/2016","3843","100611 (3843)","3582","100101 (3582)",1145,613,2139,,,,,,,,,,1236,579,2638,,,
"01/12/2016","3843","100611 (3843)","3582","100101 (3582)",878,572,1347,949,596,1509,,,,835,579,1204,575,384,860,,,
"01/13/2016","3843","100611 (3843)","3582","100101 (3582)",987,568,1715,1133,958,1339,,,,907,700,1174,775,440,1367,,,
"01/14/2016","3843","100611 (3843)","3582","100101 (3582)",1498,800,2804,1143,801,1630,,,,1054,720,1543,1059,668,1680,,,
"01/15/2016","3843","100611 (3843)","3582","100101 (3582)",986,727,1338,1225,728,2060,,,,1071,813,1411,970,706,1335,513,283,928
"01/16/2016","3843","100611 (3843)","3582","100101 (3582)",795,508,1244,,,,,,,740,462,1186,719,473,1094,688,493,958
"01/17/2016","3843","100611 (3843)","3582","100101 (3582)",1071,693,1654,,,,1565,1088,2250,779,554,1095,843,613,1160,721,456,1141
"01/18/2016","3843","100611 (3843)","3582","100101 (3582)",896,544,1474,638,499,816,1403,773,2545,,,,693,491,979,769,649,912
"01/19/2016","3843","100611 (3843)","3582","100101 (3582)",1082,690,1699,1203,795,1821,,,,1074,759,1520,622,425,910,,,
"01/20/2016","3843","100611 (3843)","3582","100101 (3582)",840,472,1497,1061,812,1386,,,,1113,809,1531,617,409,931,,,
"01/21/2016","3843","100611 (3843)","3582","100101 (3582)",926,624,1374,1029,773,1369,,,,907,599,1373,734,511,1053,,,
"01/22/2016","3843","100611 (3843)","3582","100101 (3582)",929,622,1389,1300,1022,1653,,,,1423,846,2395,908,608,1356,907,615,1338
"01/23/2016","3843","100611 (3843)","3582","100101 (3582)",872,641,1185,,,,1020,754,1379,1040,730,1481,748,588,953,,,
"01/24/2016","3843","100611 (3843)","3582","100101 (3582)",718,548,942,,,,848,710,1013,770,537,1103,640,495,827,489,323,740
"01/25/2016","3843","100611 (3843)","3582","100101 (3582)",935,621,1409,956,650,1405,,,,991,732,1341,923,580,1468,,,
"01/26/2016","3843","100611 (3843)","3582","100101 (3582)",814,556,1193,955,707,1288,,,,1020,714,1457,755,537,1060,,,
"01/27/2016","3843","100611 (3843)","3582","100101 (3582)",794,525,1200,1030,820,1294,1057,863,1294,988,709,1377,619,434,882,806,631,1029
"01/28/2016","3843","100611 (3843)","3582","100101 (3582)",732,533,1006,1282,858,1914,,,,1153,658,2022,700,512,959,654,455,938
"01/29/2016","3843","100611 (3843)","3582","100101 (3582)",1027,691,1526,973,739,1281,1402,1023,1921,965,778,1197,902,634,1285,552,416,732
"01/30/2016","3843","100611 (3843)","3582","100101 (3582)",818,610,1097,607,466,789,968,727,1289,817,657,1016,701,562,874,437,333,574
"01/31/2016","3843","100611 (3843)","3582","100101 (3582)",698,513,950,,,,811,681,967,952,707,1281,569,422,767,679,443,1041
"02/01/2016","3843","100611 (3843)","3582","100101 (3582)",1081,666,1753,1334,766,2322,,,,935,676,1292,671,216,2082,,,
"02/02/2016","3843","100611 (3843)","3582","100101 (3582)",1036,629,1705,1349,777,2342,,,,1003,713,1409,844,540,1321,650,462,915
